message,label,fraud_type
"Earn Rs. 5000 daily by liking YouTube videos. Join now, small joining fee required for training kit.",Scam,Job Scam
"Get govt job without exam, pay Rs. 3500 processing fee and submit documents within 24 hours.",Scam,Job Scam
"Pre-approved loan of Rs. 25,000 for Vikram. Transfer Rs. 999 GST fee to release the amount instantly.",Scam,Loan Scam
RBI mandates KYC update. Verify your Axis Bank account at http://income-tax-refund.xyz now to continue banking services.,Scam,KYC Update Scam
"Congratulations Vikram, you are selected for a part-time job. Pay registration charges to start earning today.",Scam,Job Scam
You've won a brand new iPhone in our anniversary lucky draw! Click the link to claim your free gift.,Scam,Lottery Scam
"Dear customer, complete your e-KYC at http://hdfc-reward.net within 24 hours to avoid permanent account block.",Scam,KYC Update Scam
"Congratulations Rohit, you are selected for a part-time job. Pay registration charges to start earning today.",Scam,Job Scam
"Exclusive IPO allotment guaranteed. Deposit Rs. 5,000 now to secure your shares before it's too late.",Scam,Investment Scam
"Exclusive IPO allotment guaranteed. Deposit Rs. 2,50,000 now to secure your shares before it's too late.",Scam,Investment Scam
"Pre-approved loan of Rs. 10,000 for Sneha. Transfer Rs. 999 GST fee to release the amount instantly.",Scam,Loan Scam
Your flight PNR is confirmed. Check-in opens 48 hours before departure. Have a safe journey.,Safe,Not Applicable
Your PF balance has been updated. Login to the EPFO portal with your registered credentials to check.,Safe,Not Applicable
"Congrats! Your number won Rs. 2,50,000 cash prize from Google Lucky Draw. Pay Rs.500 fee to release amount.",Scam,Lottery Scam
"Congratulations Rohit, you have successfully completed your Reliance certification course.",Safe,Not Applicable
"You have been selected as the winner of Rs. 25,00,000 in Airtel Lucky Draw 2026. Contact us to claim.",Scam,Lottery Scam
"Get govt job without exam, pay Rs. 3500 processing fee and submit documents within 24 hours.",Scam,Job Scam
"Join our stock tips group, invest Rs. 50,000 today and earn 300% guaranteed profit in one week.",Scam,Investment Scam
Your loan application is approved. Pay insurance amount of Rs.4999 to get funds credited today.,Scam,Loan Scam
"Join our stock tips group, invest Rs. 2,50,000 today and earn 300% guaranteed profit in one week.",Scam,Investment Scam
Your PAN card will be deactivated. Update details at http://sbi-secure-login.in within 2 hours to avoid penalty.,Scam,Phishing Link
Your order from Reliance has been shipped and will arrive in 3-4 business days.,Safe,Not Applicable
"You have been selected as the winner of Rs. 25,00,000 in Airtel Lucky Draw 2026. Contact us to claim.",Scam,Lottery Scam
